company,ticker,period_anchor,model_type,revenue_model_summary,deployment_or_packaging_summary,usage_or_transaction_exposure,enterprise_or_smb_motion,platform_breadth_signal,evidence_locator,source_url,confidence,notes
"Salesforce, Inc.",CRM,current,enterprise_subscription_suite,Subscription and support plus professional services; RPO/cRPO show contracted subscription backlog.,"Cloud services, software licenses, premium support, professional services; Agentforce/Data Cloud add consumption-model risk.",Primarily subscription; emerging consumption exposure noted for Agentforce and Data Cloud.,Enterprise go-to-market with renewal and expansion motion.,"Broad platform suite around CRM, Data Cloud, Agentforce, AppExchange.",packs/0001108524/0001108524-25-000006/optional/chunks.ndjson,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000006/0001108524-25-000006-index.htm,high,
"ServiceNow, Inc.",NOW,current,workflow_platform,Subscription revenues from cloud/self-hosted offerings plus professional services.,Cloud-based subscriptions recognized ratably; self-hosted offerings can recognize a portion upfront.,"Backlog/RPO driven by subscription contracts, duration, renewals, FX, and offering mix.",Large enterprise workflow/customer ACV motion.,"Workflow platform spanning IT, employee, customer, creator, and AI workflows.",packs/0001373715/0001373715-26-000007/optional/chunks.ndjson,https://www.sec.gov/Archives/edgar/data/1373715/000137371526000007/0001373715-26-000007-index.htm,high,
ADOBE INC.,ADBE,current,license_to_subscription_transition,Digital Media and Digital Experience subscription/services revenue; ARR is key Digital Media metric.,Creative Cloud/Document Cloud subscription model with ETLAs; perpetual licenses immaterial.,Low transaction exposure; recurring subscription/ETLA base with AI product packaging layered in.,"Mixed individual, team, enterprise, marketer, and creative professional motion.","Creative, Document, and Experience clouds with Firefly/GenStudio AI embedded.",packs/0000796343/0000796343-26-000003/optional/chunks.ndjson,https://www.sec.gov/Archives/edgar/data/796343/000079634326000003/0000796343-26-000003-index.htm,high,
Atlassian Corp,TEAM,current,cloud_migration,"Subscription revenue across cloud and Data Center, plus Marketplace ecosystem activity.","Cloud, Data Center, and Marketplace packaging; Server migration largely complete in recent filings.",Seat/subscription model with Marketplace gross-purchase ecosystem signal.,Team/developer-led expansion plus enterprise accounts.,Collaboration/devops platform with Marketplace ecosystem.,raw/edgarpack/which-TEAM.json,https://www.sec.gov/Archives/edgar/data/1650372/000165037225000036/0001650372-25-000036-index.htm,high,
SHOPIFY INC.,SHOP,current,subscription_plus_transactions,Two revenue components: subscription solutions and merchant solutions.,"Subscriptions, Shopify Plus, POS Pro, apps/themes/domains plus merchant solutions such as payments.",High transaction/payment exposure through merchant solutions and Shopify Payments GMV.,Merchant-first SMB through enterprise commerce motion.,Commerce platform plus partner/app ecosystem and embedded payments.,packs/0001594805/0001594805-25-000012/optional/chunks.ndjson,https://www.sec.gov/Archives/edgar/data/1594805/000159480525000012/0001594805-25-000012-index.htm,high,
"Datadog, Inc.",DDOG,current,usage_based_data_platform,Substantially all revenue is from subscription software sales.,Observability/security platform sold as subscription software with usage and product expansion dynamics.,"Usage, upsell, and cross-sell are core growth drivers.",Developer/operator adoption scaling into enterprise observability/security budgets.,"Multi-product monitoring, security, and data platform.",packs/0001561550/0001628280-26-008819/filing.full.md,https://www.sec.gov/Archives/edgar/data/1561550/000162828026008819/0001628280-26-008819-index.htm,medium,No chunk-level locator available from current EdgarPack output; source URL and locator retained.
Snowflake Inc.,SNOW,current,usage_based_data_platform,Cloud data platform through a customer-centric consumption-based business model.,AI Data Cloud consumption model; RPO excludes on-demand arrangements without minimum purchase commitments.,Direct consumption exposure; revenue timing depends on customer consumption.,Enterprise data platform expansion with large-customer metrics.,"AI Data Cloud, data sharing, apps, and governed data network.",packs/0001640147/0001640147-26-000008/optional/chunks.ndjson,https://www.sec.gov/Archives/edgar/data/1640147/000164014726000008/0001640147-26-000008-index.htm,high,
"MongoDB, Inc.",MDB,current,usage_based_data_platform,Subscription revenue plus services; Atlas usage annualized into ARR for direct sales customers.,Developer-first database platform with Atlas cloud consumption and Enterprise Advanced subscriptions.,Atlas usage exposure; direct-sales Atlas ARR annualizes prior 90 days of actual usage.,Developer/community-led adoption with enterprise direct sales expansion.,"Operational database, Atlas cloud platform, developer ecosystem.",packs/0001441816/0001628280-26-016799/sections/10k_partii_item8_financial_statements_2.md,https://www.sec.gov/Archives/edgar/data/1441816/000162828026016799/0001628280-26-016799-index.htm,high,
"Zoom Communications, Inc.",ZM,current,seat_based_collaboration,"Subscription communications platform with phone, meetings, marketplace/integrations.","Seat/workplace collaboration packaging, phone/PSTN country expansion, app marketplace integrations.",Mostly seat/subscription; usage less central than consumption data platforms.,SMB/self-serve plus enterprise collaboration motion.,"Meetings, Phone, Rooms, Contact Center, marketplace integrations.",raw/edgarpack/which-ZM.json,https://www.sec.gov/Archives/edgar/data/1585521/000158552126000030/0001585521-26-000030-index.htm,high,
HUBSPOT INC,HUBS,current,smb_customer_platform,Subscription customer platform revenue with services/support around SMB/midmarket customers.,"Customer platform/modules sold as subscriptions across marketing, sales, service, content, ops, commerce.","Primarily subscription; expansion through hubs, seats, and customer count.",SMB and mid-market customer platform motion.,Integrated front-office customer platform.,reports/saas-evolution/raw/edgarpack/list-HUBS-10k.txt,https://www.sec.gov/Archives/edgar/data/1404655/000119312526046646/0001193125-26-046646-index.htm,medium,No chunk-level locator available from current EdgarPack output; source URL and locator retained.
"Workday, Inc.",WDAY,current,human_capital_backlog_platform,Subscription services plus professional services; subscription revenue backlog is core forward indicator.,Cloud applications for HR/finance; typically multi-year noncancelable subscription contracts.,"Backlog driven by subscription contracts, renewal timing, duration, and seasonality.",Enterprise HCM/finance platform motion.,Human capital and financial management application suite.,packs/0001327811/0001327811-26-000014/sections/10k_partii_item7_managements_discussion_2.md,https://www.sec.gov/Archives/edgar/data/1327811/000132781126000014/0001327811-26-000014-index.htm,high,
