company,ticker,period_anchor,kpi_name,kpi_value,kpi_unit,kpi_definition,kpi_category,section_id,chunk_id,source_excerpt,source_url,confidence,notes
"Salesforce, Inc.",CRM,current,"attrition rate, excluding MuleSoft, Salesforce.org, Tableau and Slack",8.0,percent,"Attrition represents the reduction or loss of the annualized value of contracts with customers, calculated at a point in time on a trailing twelve-month basis as of the end of each month.",retention,10k_partii_item7_managements_discussion_3,section:10k_partii_item7_managements_discussion_3,"As of January 31, 2025, our attrition rate, excluding Slack self-service, was approximately eight percent.",https://www.sec.gov/Archives/edgar/data/1108524/000110852425000006/0001108524-25-000006-index.htm,high,EdgarPack which did not return chunk_id; section_id retained as fallback evidence locator.
"Salesforce, Inc.",CRM,current,Current remaining performance obligation,30.2,billions USD,Current remaining performance obligation represents future revenue under contract that is expected to be recognized as revenue in the next 12 months.,backlog,10k_partii_item7_managements_discussion_3,section:10k_partii_item7_managements_discussion_3,"Current remaining performance obligation as of January 31, 2025 was approximately $30.2 billion",https://www.sec.gov/Archives/edgar/data/1108524/000110852425000006/0001108524-25-000006-index.htm,high,EdgarPack which did not return chunk_id; section_id retained as fallback evidence locator.
"Salesforce, Inc.",CRM,current,employees,83334.0,count,,scale,10k_parti_item1_business,section:10k_parti_item1_business,"As of January 31, 2026, we had 83,334 employees.",https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/0001108524-26-000060-index.htm,high,EdgarPack which did not return chunk_id; section_id retained as fallback evidence locator.
"Salesforce, Inc.",CRM,current,Remaining performance obligation,63.4,billions USD,"Contracted revenue that has not yet been recognized, including invoiced unearned revenue and unbilled amounts expected to be recognized as revenue in future periods.",backlog,10k_partii_item7_managements_discussion_3,section:10k_partii_item7_managements_discussion_3,"Total remaining performance obligation, which represents all future revenue under contract yet to be recognized, as of January 31, 2025 was approximately $63.4 billion",https://www.sec.gov/Archives/edgar/data/1108524/000110852425000006/0001108524-25-000006-index.htm,high,EdgarPack which did not return chunk_id; section_id retained as fallback evidence locator.
"Datadog, Inc.",DDOG,current,customers,32700.0,count,,customer_scale,10k_parti_item1_business,4e673c920f1e856a,"As of December 31, 2025, we had approximately 32,700 customers in over 160 countries.",https://www.sec.gov/Archives/edgar/data/1561550/000162828026008819/0001628280-26-008819-index.htm,high,
"MongoDB, Inc.",MDB,current,customers,65200.0,count,"All affiliated entities are counted as a single customer, and users of free offerings are excluded.",customer_scale,10k_parti_item1_business,3b49574e0194293e,"As of January 31, 2026, we had over 65,200 customers spanning a wide range of industries in more than 100 countries around the world.",https://www.sec.gov/Archives/edgar/data/1441816/000162828026016799/0001628280-26-016799-index.htm,high,
"MongoDB, Inc.",MDB,current,employees,5636.0,count,Total number of company employees as of the fiscal year end date.,scale,10k_parti_item1_business,015693c7f00fd78b,"As of January 31, 2026, we had a total of 5,636 employees, including 2,927 employees located outside the United States.",https://www.sec.gov/Archives/edgar/data/1441816/000162828026016799/0001628280-26-016799-index.htm,high,
"MongoDB, Inc.",MDB,current,net annualized recurring revenue (“ARR”) expansion rate,121.0,percent,A measure demonstrating MongoDB's ability to expand sales within existing customers.,retention,10k_parti_item1_business,e51f36ffd679543d,"Our ability to expand within existing customers is demonstrated by our net annualized recurring revenue (“ARR”) expansion rate, which in the fourth quarter was 121%.",https://www.sec.gov/Archives/edgar/data/1441816/000162828026016799/0001628280-26-016799-index.htm,high,
"ServiceNow, Inc.",NOW,current,customers,8700.0,count,,customer_scale,10k_parti_item1_business,820938609dcac9a0,"As of December 31, 2025, we had approximately 8,700 customers across a wide variety of industries.",https://www.sec.gov/Archives/edgar/data/1373715/000137371526000007/0001373715-26-000007-index.htm,high,
"ServiceNow, Inc.",NOW,current,"employed 22,668 people on a full-time basis",22668.0,count,,scale,10k_parti_item1_business,7204ade98cc0e95e,"As of December 31, 2023, we employed 22,668 people on a full-time basis, 11,797 in the United States and 10,871 internationally.",https://www.sec.gov/Archives/edgar/data/1373715/000137371524000030/0001373715-24-000030-index.htm,high,
SHOPIFY INC.,SHOP,current,apps were available in the Shopify App Store,21000.0,count,,ecosystem,10k_parti_item1_business_2,22c9f0e73e55d270,"As of December 31, 2025, more than 21,000 apps were available in the Shopify App Store.",https://www.sec.gov/Archives/edgar/data/1594805/000159480526000007/0001594805-26-000007-index.htm,high,
SHOPIFY INC.,SHOP,current,employees worldwide,7600.0,count,,scale,10k_parti_item1_business_2,1c055545958dba2f,"As of December 31, 2025, Shopify had approximately 7,600 employees worldwide.",https://www.sec.gov/Archives/edgar/data/1594805/000159480526000007/0001594805-26-000007-index.htm,high,
SHOPIFY INC.,SHOP,current,GMV that was facilitated using Shopify Payments,248.1,billions USD,"GMV is the total dollar value of orders facilitated through Shopify's platform including certain apps and channels with revenue-sharing arrangements, net of refunds and inclusive of shipping and handling, duty and value-added taxes.",payments,10k_partii_item7_managements_discussion_3,ad9a3326b3b6312b,"For the year ended December 31, 2025, the Shopify Payments penetration rate was 65.6%, resulting in GMV of $248.1 billion that was facilitated using Shopify Payments.",https://www.sec.gov/Archives/edgar/data/1594805/000159480526000007/0001594805-26-000007-index.htm,high,
