company,ticker,cohort_name,cohort_year,filing_form,filing_date,accession,revenue,operating_income,net_income,gross_margin,operating_margin,r_and_d_expense,r_and_d_intensity,capex,capex_intensity,employees,segment_mix_summary,geographic_mix_summary,evidence_chunk_ids,evidence_excerpt,confidence,notes
Coca-Cola,KO,earlier_sp500_top20_1996,1996,10-K405,1997-03-11,0000021344-97-000014,18546,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,raw:KO-1996:L7683-L7701,"Selected annual evidence supports revenue 18546, cash 1,433, securities 225, debt 1,116, employees not_disclosed.",medium,"1996 Form 10-K405 raw FDS gives sales, cash, securities, debt, and cost of goods; local pack rendered as directory listing."
Exxon Mobil,XOM,earlier_sp500_top20_1996,1996,10-K,1996-03-08,0000930661-96-000138,121804,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,"82,000",not_disclosed,not_disclosed,raw:XOM-1996:L4210-L4228; raw:XOM-1996:L1759-L1787,"Selected annual evidence supports revenue 121804, cash 1,508, securities 281, debt 7,778, employees 82,000.",medium,"1995 Exxon annual is nearest available annual in the 1995-1997 window; FDS gives sales/cash/securities/debt, annual table gives employees."
Intel,INTC,earlier_sp500_top20_1996,1996,10-K,1997-03-28,0000050863-97-000020,20847,not_disclosed,not_disclosed,not_disclosed,not_disclosed,1808,8.67%,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,raw:INTC-1996:L4368-L4386; raw:INTC-1996:L520-L524,"Selected annual evidence supports revenue 20847, cash 4,165, securities 3,829, debt 728, employees not_disclosed.",medium,"FDS gives sales/cash/securities/debt; R&D is directly disclosed; R&D intensity = 1,808 / 20,847."
Microsoft,MSFT,earlier_sp500_top20_1996,1996,10-K,1996-09-27,0000891020-96-001130,8671,not_disclosed,not_disclosed,not_disclosed,not_disclosed,1432,16.51%,not_disclosed,not_disclosed,"20,561",not_disclosed,not_disclosed,raw:MSFT-1996:L2982-L3000; raw:MSFT-1996:L678-L680; raw:MSFT-1996:L1036-L1044,"Selected annual evidence supports revenue 8671, cash 6,940, securities 0, debt 0, employees 20,561.",medium,"FDS gives sales/cash/debt; R&D and employees are disclosed in business/MD&A; R&D intensity = 1,432 / 8,671."
General Electric,GE,earlier_sp500_top20_1996,1996,10-K405,1997-03-21,0000040545-97-000005,79179,not_disclosed,not_disclosed,not_disclosed,not_disclosed,1886,2.38%,not_disclosed,not_disclosed,"239,000",not_disclosed,not_disclosed,raw:GE-1996:L6347-L6365; raw:GE-1996:L873-L885; raw:GE-1996:L3160-L3160,"Selected annual evidence supports revenue 79179, cash 4,191, securities 59,889, debt 49,246, employees 239,000.",medium,"FDS separates GE sales of goods/services; selected annual discloses consolidated revenues of 79,179 in selected financial data; R&D intensity = 1,886 / 79,179."
Merck,MRK,earlier_sp500_top20_1996,1996,10-K,1997-03-03,0000310158-97-000003,5655.8,not_disclosed,not_disclosed,not_disclosed,not_disclosed,722.8,12.78%,324.5,5.74%,"20,600",not_disclosed,not_disclosed,raw:MRK-1996:L3886-L3904; raw:MRK-1996:L3262-L3284,"Selected annual evidence supports revenue 5655.8, cash 535.1, securities 0, debt 46.4, employees 20,600.",medium,FDS uses thousands; converted to millions. R&D and capex lines support intensity formulas.
IBM,IBM,earlier_sp500_top20_1996,1996,10-K,1997-03-27,0000912057-97-010483,36316,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,raw:IBM-1996:L5525-L5543; raw:IBM-1996:L2943-L2954,"Selected annual evidence supports revenue 36316, cash 7,687, securities 450, debt 0, employees not_disclosed.",medium,FDS gives sales/cash/securities/debt; employee line reviewed but exact total not extracted in this pass.
Procter & Gamble,PG,earlier_sp500_top20_1996,1996,10-K,1996-09-11,0000080424-96-000017,35284,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,"103,000",not_disclosed,not_disclosed,raw:PG-1996:L5301-L5319; raw:PG-1996:L234-L234,"Selected annual evidence supports revenue 35284, cash 2,074, securities 446, debt 4,670, employees 103,000.",medium,FDS gives sales/cash/securities/debt; Item 1 gives employee count.
Johnson & Johnson,JNJ,earlier_sp500_top20_1996,1996,10-K405,1997-03-31,0000950123-97-002843,21620,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,raw:JNJ-1996:L5770-L5788,"Selected annual evidence supports revenue 21620, cash 2,011, securities 125, debt 1,917, employees not_disclosed.",medium,FDS gives sales/cash/securities/debt; other fields left conservative.
Walmart,WMT,earlier_sp500_top20_1996,1996,10-K,1997-04-21,0000104169-97-000003,104859,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,2600,2.48%,not_disclosed,not_disclosed,not_disclosed,raw:WMT-1996:L2468-L2486; raw:WMT-1996:L1701-L1724,"Selected annual evidence supports revenue 104859, cash 883, securities 0, debt 0, employees not_disclosed.",medium,"FDS gives sales/cash/debt; capex line says more than $2.6B, so intensity uses 2,600 / 104,859 and is approximate."
