company,ticker,cohort_name,cohort_year,filing_form,filing_date,accession,kpi_name,kpi_value,kpi_unit,kpi_section,kpi_category,evidence_chunk_ids,evidence_excerpt,confidence,notes
Coca-Cola,KO,earlier_sp500_top20_1996,1996,10-K405,1997-03-11,0000021344-97-000014,worldwide unit case volume by bottler type,independent bottlers 40%; equity/investee bottlers 45%; controlled/consolidated operations 15%,percent of worldwide unit case volume,Business - bottling system,unit_volume,raw:KO-1996:L449-L460,"The filing breaks worldwide unit case volume into independent bottlers at 40%, equity/investee bottlers at 45%, and controlled/consolidated operations at 15%.",high,Raw SEC anchor used because the old annual pack renders poorly.
Exxon Mobil,XOM,earlier_sp500_top20_1996,1996,10-K,1996-03-08,0000930661-96-000138,net proved oil and gas reserves,"oil 11,813; gas 5,427",million barrels oil; billion cubic feet gas,Supplemental oil and gas information,production_or_capacity,raw:XOM-1996:L257-L294; raw:XOM-1996:L306-L312,"The annual filing presents total net proved reserves of oil at 11,813 million barrels and gas at 5,427 billion cubic feet.",high,Raw SEC anchor used because the old annual pack renders poorly.
Intel,INTC,earlier_sp500_top20_1996,1996,10-K,1997-03-28,0000050863-97-000020,Pentium microprocessors and related board-level products revenue mix,majority of revenue and substantial majority of gross margin,qualitative recurring product mix,Business - products,segment_metric,raw:INTC-1996:L210-L216,Intel states Pentium microprocessors and related board-level products made up the majority of revenues and a substantial majority of gross margin.,medium,Qualitative recurring product-mix KPI; no precise value disclosed in the cited passage.
Microsoft,MSFT,earlier_sp500_top20_1996,1996,10-K,1996-09-27,0000891020-96-001130,Platforms Product Group revenue,4.11,USD billions,Management discussion - product groups,segment_metric,raw:MSFT-1996:L1661-L1665,"Product Group data shows Platforms Product Group revenue of $4.11 billion for 1996, up from $2.36 billion in 1995.",high,Raw SEC anchor used because the old annual pack renders poorly.
General Electric,GE,earlier_sp500_top20_1996,1996,10-K405,1997-03-21,0000040545-97-000005,Industrial Products and Systems revenue,"10,412",USD millions,Segment revenues,segment_metric,raw:GE-1996:L2408-L2415,"GE segment revenues include Industrial Products and Systems at $10,412 million for 1996.",high,Raw SEC anchor used because the old annual pack renders poorly.
Merck,MRK,earlier_sp500_top20_1996,1996,10-K,1997-03-19,0000950130-97-001093,Medco plan participants and prescriptions managed,over 49 million plan participants; over 235 million prescriptions managed,plan participants; prescriptions,Management discussion - other human health products and services,user_or_customer_scale,raw:MRK-1996:L2311-L2316,"Merck disclosed that Medco managed pharmaceutical benefits for over 49 million plan participants and managed over 235 million prescriptions in 1996.",high,Corrected to historical Merck CIK 0000064978; raw SEC anchor used because the old annual pack renders poorly.
IBM,IBM,earlier_sp500_top20_1996,1996,10-K,1997-03-27,0000912057-97-010483,none_disclosed,not_disclosed,not_disclosed,Business and selected financial data reviewed,none_disclosed,raw:IBM-1996:L2937-L2944; raw:IBM-1996:L5541-L5542,"Reviewed business and selected financial data; the cited sections disclose employees and consolidated revenue, but no recurring business KPI was validated.",medium,Conservative none_disclosed row; consolidated revenue was not treated as a KPI.
Procter & Gamble,PG,earlier_sp500_top20_1996,1996,10-K,1996-09-11,0000080424-96-000017,Laundry and Cleaning segment net sales,"10,673",USD millions,Business segments,segment_metric,raw:PG-1996:L4678-L4685,"Business segment net sales list Laundry and Cleaning at $10,673 million for 1996.",high,Raw SEC anchor used because the old annual pack renders poorly.
Johnson & Johnson,JNJ,earlier_sp500_top20_1996,1996,10-K405,1997-03-31,0000950123-97-002843,Professional segment sales,"8,068",USD millions,Business segments,segment_metric,raw:JNJ-1996:L3327-L3331,"Johnson & Johnson segment sales show Professional at $8,068 million for 1996.",high,Raw SEC anchor used because the old annual pack renders poorly.
Walmart,WMT,earlier_sp500_top20_1996,1996,10-K,1997-04-21,0000104169-97-000003,domestic store and club count,"Wal-Mart stores 1,960; Sam's Clubs 436; Supercenters 344",stores/clubs,Business - store operations,store_or_location_count,raw:WMT-1996:L174-L180,"At January 31, 1997, Walmart operated 1,960 Wal-Mart stores, 436 Sam's Clubs, and 344 Supercenters domestically.",high,Raw SEC anchor used because the old annual pack renders poorly.
Bristol-Myers Squibb,BMY,earlier_sp500_top20_1996,1996,10-K,1997-03-31,0000014272-97-000008,Pharmaceutical Products segment sales,"8,702",USD millions,Pharmaceutical Products segment,segment_metric,raw:BMY-1996:L1328-L1336,"Bristol-Myers Squibb states Pharmaceutical Products segment sales were $8,702 million and 58% of total sales.",high,Raw SEC anchor used because the old annual pack renders poorly.
Pfizer,PFE,earlier_sp500_top20_1996,1996,10-K,1997-03-28,0000950116-97-000605,Health Care segment net sales,"9,630",USD millions,Net sales by business segment,segment_metric,raw:PFE-1996:L9729-L9738,"Net sales by business segment show Health Care at $9,630 million for 1996.",high,Raw SEC anchor used because the old annual pack renders poorly.
Walt Disney,DIS,earlier_sp500_top20_1996,1996,10-K405,1996-12-19,0000898430-96-005815,Creative Content segment revenues,"10,095",USD millions,Segment revenues,segment_metric,raw:DIS-1996:L2761-L2766,"Disney segment revenues list Creative Content at $10,095 million for 1996.",high,Raw SEC anchor used because the old annual pack renders poorly.
PepsiCo,PEP,earlier_sp500_top20_1996,1996,10-K,1997-03-25,0000077476-97-000007,Pizza Hut system unit count,"company/affiliate 5,045; franchisee 3,165; licensee 1,155","restaurants, delivery/carryout units, and kiosk outlets",Business - restaurant operations,store_or_location_count,raw:PEP-1996:L235-L250,"PepsiCo discloses Pizza Hut company/affiliate units, franchisee units, and licensee kiosk outlets in the United States, Canada, Guam, and Saipan.",high,"Counts aggregate the directly cited Pizza Hut rows: 4,800 plus 245; 3,000 plus 165; 1,000 plus 155."
Chevron,CVX,earlier_sp500_top20_1996,1996,10-K,1996-03-27,0000093410-96-000003,net production including affiliates,"liquids 1,000,710; natural gas 2,432,800",barrels per day; thousand cubic feet per day,Exploration and production statistics,production_or_capacity,raw:CVX-1996:L982-L1016; raw:CVX-1996:L1023-L1035,"Chevron production tables disclose net liquids production of 1,000,710 barrels per day and natural gas of 2,432,800 thousand cubic feet per day.",high,Raw SEC anchor used because the old annual pack renders poorly.
AIG,AIG,earlier_sp500_top20_1996,1996,10-K,1997-03-28,0000950123-97-002720,general insurance gross premiums written,"18,319,132",USD thousands,General insurance operating data,financial_services_metric,raw:AIG-1996:L197-L203,"AIG general insurance operating data reports gross premiums written of $18,319,132 thousand.",high,Raw SEC anchor used because the old annual pack renders poorly.
