company,ticker,cohort_name,cohort_year,filing_form,filing_date,accession,dividends,share_repurchases,cash_and_equivalents,marketable_securities,total_debt,major_acquisition_signal,capital_allocation_summary,evidence_chunk_ids,evidence_excerpt,confidence,notes
Coca-Cola,KO,earlier_sp500_top20_1996,1996,10-K405,1997-03-11,0000021344-97-000014,not_disclosed,not_disclosed,"1,433",225,"1,116",not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:KO-1996:L7683-L7701,"Selected annual evidence supports dividends not_disclosed, repurchases not_disclosed, cash 1,433, securities 225, debt 1,116.",medium,"1996 Form 10-K405 raw FDS gives sales, cash, securities, debt, and cost of goods; local pack rendered as directory listing."
Exxon Mobil,XOM,earlier_sp500_top20_1996,1996,10-K,1996-03-08,0000930661-96-000138,"3,765",not_disclosed,"1,508",281,"7,778",not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:XOM-1996:L4210-L4228; raw:XOM-1996:L1759-L1787,"Selected annual evidence supports dividends 3,765, repurchases not_disclosed, cash 1,508, securities 281, debt 7,778.",medium,"1995 Exxon annual is nearest available annual in the 1995-1997 window; FDS gives sales/cash/securities/debt, annual table gives employees."
Intel,INTC,earlier_sp500_top20_1996,1996,10-K,1997-03-28,0000050863-97-000020,not_disclosed,not_disclosed,"4,165","3,829",728,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:INTC-1996:L4368-L4386; raw:INTC-1996:L520-L524,"Selected annual evidence supports dividends not_disclosed, repurchases not_disclosed, cash 4,165, securities 3,829, debt 728.",medium,"FDS gives sales/cash/securities/debt; R&D is directly disclosed; R&D intensity = 1,808 / 20,847."
Microsoft,MSFT,earlier_sp500_top20_1996,1996,10-K,1996-09-27,0000891020-96-001130,not_meaningful,348,"6,940",0,0,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:MSFT-1996:L2982-L3000; raw:MSFT-1996:L678-L680; raw:MSFT-1996:L1036-L1044,"Selected annual evidence supports dividends not_meaningful, repurchases 348, cash 6,940, securities 0, debt 0.",medium,"FDS gives sales/cash/debt; R&D and employees are disclosed in business/MD&A; R&D intensity = 1,432 / 8,671."
General Electric,GE,earlier_sp500_top20_1996,1996,10-K405,1997-03-21,0000040545-97-000005,not_disclosed,not_disclosed,"4,191","59,889","49,246",not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:GE-1996:L6347-L6365; raw:GE-1996:L873-L885; raw:GE-1996:L3160-L3160,"Selected annual evidence supports dividends not_disclosed, repurchases not_disclosed, cash 4,191, securities 59,889, debt 49,246.",medium,"FDS separates GE sales of goods/services; selected annual discloses consolidated revenues of 79,179 in selected financial data; R&D intensity = 1,886 / 79,179."
Merck,MRK,earlier_sp500_top20_1996,1996,10-K,1997-03-03,0000310158-97-000003,474.0,388.0,535.1,0,46.4,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:MRK-1996:L3886-L3904; raw:MRK-1996:L3262-L3284,"Selected annual evidence supports dividends 474.0, repurchases 388.0, cash 535.1, securities 0, debt 46.4.",medium,FDS uses thousands; converted to millions. R&D and capex lines support intensity formulas.
IBM,IBM,earlier_sp500_top20_1996,1996,10-K,1997-03-27,0000912057-97-010483,not_disclosed,not_disclosed,"7,687",450,0,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:IBM-1996:L5525-L5543; raw:IBM-1996:L2943-L2954,"Selected annual evidence supports dividends not_disclosed, repurchases not_disclosed, cash 7,687, securities 450, debt 0.",medium,FDS gives sales/cash/securities/debt; employee line reviewed but exact total not extracted in this pass.
Procter & Gamble,PG,earlier_sp500_top20_1996,1996,10-K,1996-09-11,0000080424-96-000017,not_disclosed,not_disclosed,"2,074",446,"4,670",not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:PG-1996:L5301-L5319; raw:PG-1996:L234-L234,"Selected annual evidence supports dividends not_disclosed, repurchases not_disclosed, cash 2,074, securities 446, debt 4,670.",medium,FDS gives sales/cash/securities/debt; Item 1 gives employee count.
Johnson & Johnson,JNJ,earlier_sp500_top20_1996,1996,10-K405,1997-03-31,0000950123-97-002843,not_disclosed,not_disclosed,"2,011",125,"1,917",not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:JNJ-1996:L5770-L5788,"Selected annual evidence supports dividends not_disclosed, repurchases not_disclosed, cash 2,011, securities 125, debt 1,917.",medium,FDS gives sales/cash/securities/debt; other fields left conservative.
Walmart,WMT,earlier_sp500_top20_1996,1996,10-K,1997-04-21,0000104169-97-000003,not_disclosed,not_disclosed,883,0,0,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:WMT-1996:L2468-L2486; raw:WMT-1996:L1701-L1724,"Selected annual evidence supports dividends not_disclosed, repurchases not_disclosed, cash 883, securities 0, debt 0.",medium,"FDS gives sales/cash/debt; capex line says more than $2.6B, so intensity uses 2,600 / 104,859 and is approximate."
Bristol-Myers Squibb,BMY,earlier_sp500_top20_1996,1996,10-K,1997-03-31,0000014272-97-000008,"1,507",not_disclosed,"1,681",504,966,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:BMY-1996:L8543-L8561; raw:BMY-1996:L1312-L1317,"Selected annual evidence supports dividends 1,507, repurchases not_disclosed, cash 1,681, securities 504, debt 966.",medium,"FDS gives sales/cash/securities/debt; R&D intensity = 1,276 / 15,065."
Pfizer,PFE,earlier_sp500_top20_1996,1996,10-K,1997-03-28,0000950116-97-000605,not_disclosed,not_disclosed,"1,150",487,687,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:PFE-1996:L14829-L14847; raw:PFE-1996:L337-L340; raw:PFE-1996:L907-L911,"Selected annual evidence supports dividends not_disclosed, repurchases not_disclosed, cash 1,150, securities 487, debt 687.",medium,FDS gives sales/cash/securities/debt; annual text notes multibillion R&D but exact 1996 amount was not extracted.
Walt Disney,DIS,earlier_sp500_top20_1996,1996,10-K405,1996-12-19,0000898430-96-005815,not_disclosed,462,278,454,"12,342",not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:DIS-1996:L10471-L10489; raw:DIS-1996:L1356-L1359,"Selected annual evidence supports dividends not_disclosed, repurchases 462, cash 278, securities 454, debt 12,342.",medium,Old Disney CIK annual selected per predecessor note; FDS gives sales/cash/securities/debt; repurchase text reviewed.
PepsiCo,PEP,earlier_sp500_top20_1996,1996,10-K,1997-03-25,0000077476-97-000007,675,"1,651",447,339,"8,439",not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:PEP-1996:L10591-L10609; raw:PEP-1996:L326-L328; raw:PEP-1996:L2443-L2444,"Selected annual evidence supports dividends 675, repurchases 1,651, cash 447, securities 339, debt 8,439.",medium,FDS gives sales/cash/securities/debt; annual text gives employees and cash returns.
Chevron,CVX,earlier_sp500_top20_1996,1996,10-K,1996-03-27,0000093410-96-000003,"1,255",not_disclosed,621,773,"4,521",not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:CVX-1996:L8392-L8410; raw:CVX-1996:L3917-L3931; raw:CVX-1996:L240-L240,"Selected annual evidence supports dividends 1,255, repurchases not_disclosed, cash 621, securities 773, debt 4,521.",medium,FDS gives sales/cash/securities/debt; R&D and capex lines support intensity formulas.
AIG,AIG,earlier_sp500_top20_1996,1996,10-K,1997-03-28,0000950123-97-002720,174.115,492.5,"58,740",not_meaningful,not_disclosed,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:AIG-1996:L9306-L9306; raw:AIG-1996:L2556-L2557; raw:AIG-1996:L4149-L4149,"Selected annual evidence supports dividends 174.115, repurchases 492.5, cash 58,740, securities not_meaningful, debt not_disclosed.",low,Insurance company FDS extraction did not expose comparable revenue/debt tags; cash and capital-return lines cited.
Cisco Systems,CSCO,earlier_sp500_top20_1996,1996,10-K,1996-10-25,0000950149-96-001640,not_meaningful,115.621,279.695,"1,819.247",0,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:CSCO-1996:L3963-L3981; raw:CSCO-1996:L604-L607; raw:CSCO-1996:L864-L870,"Selected annual evidence supports dividends not_meaningful, repurchases 115.621, cash 279.695, securities 1,819.247, debt 0.",medium,"FDS uses thousands; capex and R&D discussion cited, exact R&D amount left conservative."
Eli Lilly,LLY,earlier_sp500_top20_1996,1996,10-K,1996-03-25,0000059478-96-000001,not_disclosed,not_disclosed,999.549,84.644,"2,592.894",not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:LLY-1996:L5042-L5060; raw:LLY-1996:L607-L609; raw:LLY-1996:L2791-L2794,"Selected annual evidence supports dividends not_disclosed, repurchases not_disclosed, cash 999.549, securities 84.644, debt 2,592.894.",medium,FDS uses thousands; capex line supports intensity formula.
Fannie Mae,FNMA,earlier_sp500_top20_1996,1996,availability_exception,no-1995-1997-sec-annual,no-1995-1997-sec-annual,not_disclosed,not_disclosed,not_disclosed,not_meaningful,not_disclosed,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,availability_exception:FNMA-1996:no-sec-annual-filing,"Selected annual evidence supports dividends not_disclosed, repurchases not_disclosed, cash not_disclosed, securities not_meaningful, debt not_disclosed.",medium,No 1995-1997 SEC annual filing found; row is an availability exception.
