company,ticker,cohort_name,cohort_year,assigned_archetype,control_rationale,governance_rationale,operating_rationale,capital_allocation_rationale,kpi_rationale,evidence_row_refs,confidence,notes
Coca-Cola,KO,earlier_sp500_top20_1996,1996,manager_controlled_old_line_incumbent,Control evidence shows no founder block and only a non-founder Berkshire block,Governance is single-class common with a classified board and outside-director committees,Operating evidence describes a mature beverage issuer with revenue but limited disclosed growth architecture,Cash and debt fields are present but shareholder-return fields are not fully disclosed,KPI evidence centers on bottler unit-case mix rather than platform or founder metrics,control:KO:1996; governance:KO:1996; operating:KO:1996; capital:KO:1996; kpi:KO:1996,medium,Old-line consumer incumbent classification follows dispersed non-founder control evidence
Exxon Mobil,XOM,earlier_sp500_top20_1996,1996,manager_controlled_old_line_incumbent,Directors and officers held less than 0.5 percent with options and no control block is identified,Governance evidence shows annual director elections and common or preferred shares voting together,Operating evidence is a large integrated oil profile with reserves and employee disclosure,Capital evidence shows dividends plus cash securities and debt from the annual filing,KPI evidence is reserve volume disclosure typical of an oil incumbent,control:XOM:1996; governance:XOM:1996; operating:XOM:1996; capital:XOM:1996; kpi:XOM:1996,high,
Intel,INTC,earlier_sp500_top20_1996,1996,founder_led_not_founder_controlled,Moore is identified as co-founder and chairman with 5.6 percent ownership but no voting-control mechanism,Governance evidence shows single-class common and annual director elections,Operating evidence shows semiconductor revenue and disclosed R&D expense,Capital evidence shows cash securities and low debt without a control-linked capital posture,KPI evidence centers on Pentium product mix and gross-margin contribution,control:INTC:1996; governance:INTC:1996; operating:INTC:1996; capital:INTC:1996; kpi:INTC:1996,high,Founder leadership is visible but table evidence does not show founder voting control
Microsoft,MSFT,earlier_sp500_top20_1996,1996,founder_led_not_founder_controlled,Gates was founder CEO and chairman with 23.7 percent ownership while Allen held 9.0 percent under single-class stock,Governance evidence shows one vote per common share and annual director elections,Operating evidence shows software revenue employees and R&D expense,Capital evidence shows cash securities no debt and repurchases rather than founder-specific control rights,KPI evidence centers on Platforms Product Group revenue,control:MSFT:1996; governance:MSFT:1996; operating:MSFT:1996; capital:MSFT:1996; kpi:MSFT:1996,high,Large founder ownership and leadership without dual-class voting control
General Electric,GE,earlier_sp500_top20_1996,1996,manager_controlled_old_line_incumbent,Proxy evidence shows no director or officer above 0.1 percent and group ownership below 1 percent,Governance evidence shows single-class common and annual director elections,Operating evidence shows diversified industrial and finance scale with large employee count,Capital evidence shows cash securities and substantial debt consistent with mature conglomerate financing,KPI evidence centers on Industrial Products and Systems revenue,control:GE:1996; governance:GE:1996; operating:GE:1996; capital:GE:1996; kpi:GE:1996,high,
Merck,MRK,earlier_sp500_top20_1996,1996,manager_controlled_old_line_incumbent,Control evidence reports no known holder above 5 percent and low management ownership,Governance evidence shows cumulative voting and a classified board with independent committees,Operating evidence shows pharma revenue R&D capex employees and segment context,Capital evidence shows dividends repurchases cash investments and debt,KPI evidence centers on Medco plan participants and prescriptions managed,control:MRK:1996; governance:MRK:1996; operating:MRK:1996; capital:MRK:1996; kpi:MRK:1996,high,
IBM,IBM,earlier_sp500_top20_1996,1996,manager_controlled_old_line_incumbent,Control evidence shows director and officer holdings below 1 percent with no control block,Governance evidence shows one voting class one-year director terms and an outside independent board signal,Operating evidence shows established technology revenue but no founder-control signal,Capital evidence shows cash securities and no debt from the selected filing,KPI evidence found no recurring business KPI beyond consolidated operating disclosure,control:IBM:1996; governance:IBM:1996; operating:IBM:1996; capital:IBM:1996; kpi:IBM:1996,high,Incumbent technology issuer without table-backed founder continuity
Procter & Gamble,PG,earlier_sp500_top20_1996,1996,manager_controlled_old_line_incumbent,Control evidence shows minimal director and officer common ownership and ESOP preferred voting routed through plan terms,Governance evidence shows common and ESOP preferred shares with a classified staggered board,Operating evidence shows large consumer-products revenue and employee scale,Capital evidence shows cash securities and debt while cash-return fields are not fully disclosed,KPI evidence centers on Laundry and Cleaning segment sales,control:PG:1996; governance:PG:1996; operating:PG:1996; capital:PG:1996; kpi:PG:1996,medium,ESOP structure is visible but not treated as founder or family control
Johnson & Johnson,JNJ,earlier_sp500_top20_1996,1996,manager_controlled_old_line_incumbent,Control evidence shows individual and group ownership around 1 percent with trustee control lacking economic interest,Governance evidence shows single-class common and annual director elections,Operating evidence shows diversified healthcare revenue with limited extracted field depth,Capital evidence shows cash securities and debt but not full cash-return detail,KPI evidence centers on Professional segment sales,control:JNJ:1996; governance:JNJ:1996; operating:JNJ:1996; capital:JNJ:1996; kpi:JNJ:1996,high,
Walmart,WMT,earlier_sp500_top20_1996,1996,founder_or_family_controlled_non_tech,Control evidence shows Walton family members tied to a Walton Enterprises block around 38 percent,Governance evidence shows single-class common and annual director elections,Operating evidence shows very large retail revenue and store expansion capex,Capital evidence shows cash and no debt in the selected fields while return fields are not fully disclosed,KPI evidence centers on domestic store club and Supercenter counts,control:WMT:1996; governance:WMT:1996; operating:WMT:1996; capital:WMT:1996; kpi:WMT:1996,high,
Bristol-Myers Squibb,BMY,earlier_sp500_top20_1996,1996,manager_controlled_old_line_incumbent,Control evidence shows directors and officers at 0.7 percent with no preferred ownership,Governance evidence shows common and preferred voting with a classified staggered board,Operating evidence shows pharma revenue and R&D expense,Capital evidence shows dividends cash securities and debt,KPI evidence centers on Pharmaceutical Products segment sales,control:BMY:1996; governance:BMY:1996; operating:BMY:1996; capital:BMY:1996; kpi:BMY:1996,high,
Pfizer,PFE,earlier_sp500_top20_1996,1996,manager_controlled_old_line_incumbent,Control evidence shows no director or executive above 0.13 percent and group ownership below 1 percent,Governance evidence shows single-class common plurality voting and a classified board,Operating evidence shows healthcare revenue and employee scale,Capital evidence shows cash securities and debt with cash-return fields not fully disclosed,KPI evidence centers on Health Care segment net sales,control:PFE:1996; governance:PFE:1996; operating:PFE:1996; capital:PFE:1996; kpi:PFE:1996,high,
