company,ticker,cik,ipo_or_public_basis,basis_source,basis_source_url,first_observable_public_year,public_plus_10_year,public_plus_20_year,left_censored,notes
Microsoft,MSFT,0000789019,first_edgar_proxy,DEF 14A 1994-09-27 accession 0000891020-94-000176,https://www.sec.gov/Archives/edgar/data/789019/0000891020-94-000176.txt,1994,2004,2014,true,IPO predates EDGAR; life arc is left-censored before first available proxy.
Walmart,WMT,0000104169,first_edgar_proxy,DEF 14A 1995-04-19 accession 0000104169-95-000002,https://www.sec.gov/Archives/edgar/data/104169/0000104169-95-000002.txt,1995,2005,2015,true,IPO predates EDGAR; life arc is left-censored before first available proxy found by EdgarPack.
Intel,INTC,0000050863,first_edgar_proxy,DEF 14A 1994-03-22 accession 0000891618-94-000083,https://www.sec.gov/Archives/edgar/data/50863/0000891618-94-000083.txt,1994,2004,2014,true,IPO predates EDGAR; life arc is left-censored before first available proxy.
Exxon Mobil,XOM,0000034088,first_edgar_proxy,DEF 14A 1994-03-04 accession 0000950131-94-000279,https://www.sec.gov/Archives/edgar/data/34088/0000950131-94-000279.txt,1994,2004,2014,true,Corporate history predates EDGAR; life arc is left-censored before first available proxy.
Coca-Cola,KO,0000021344,first_edgar_proxy,DEF 14A 1994-03-07 accession 0000950144-94-000565,https://www.sec.gov/Archives/edgar/data/21344/0000950144-94-000565.txt,1994,2004,2014,true,Corporate history predates EDGAR; life arc is left-censored before first available proxy.
General Electric,GE,0000040545,first_edgar_proxy,DEF 14A 1994-03-08 accession 0000040545-94-000002,https://www.sec.gov/Archives/edgar/data/40545/0000040545-94-000002.txt,1994,2004,2014,true,Corporate history predates EDGAR; life arc is left-censored before first available proxy.
NVIDIA,NVDA,0001045810,S-1,S-1 1998-03-06 accession 0001012870-98-000618,https://www.sec.gov/Archives/edgar/data/1045810/0001012870-98-000618.txt,1998,2008,2018,false,S-1 is available in EDGAR and can anchor the public-company arc.
Alphabet,GOOGL,0001652044,S-1,S-1 2004-04-29 accession 0001193125-04-073639 under Google Inc CIK 0001288776,https://www.sec.gov/Archives/edgar/data/1288776/0001193125-04-073639.txt,2004,2014,2024,false,IPO filing is under Google Inc before Alphabet holding-company structure.
Meta Platforms,META,0001326801,S-1,S-1 2012-02-01 accession 0001193125-12-034517,https://www.sec.gov/Archives/edgar/data/1326801/0001193125-12-034517.txt,2012,2022,2032,false,Public-plus-20 point is future-dated and unavailable as of 2026.
Apple,AAPL,0000320193,first_edgar_proxy,DEF 14A 1994-12-12 accession 0000891618-94-000258,https://www.sec.gov/Archives/edgar/data/320193/0000891618-94-000258.txt,1994,2004,2014,true,IPO predates EDGAR; life arc is left-censored before first available proxy.
Broadcom,AVGO,0001730168,S-1,S-1 2008-08-21 accession 0001193125-08-182335 under Avago Technologies CIK 0001441634,https://www.sec.gov/Archives/edgar/data/1441634/0001193125-08-182335.txt,2008,2018,2028,false,Current Broadcom CIK begins later; life-arc extraction requires Avago predecessor context.
JPMorgan Chase,JPM,0000019617,first_edgar_proxy,DEF 14A 1994-04-06 accession 0000950123-94-000714,https://www.sec.gov/Archives/edgar/data/19617/0000950123-94-000714.txt,1994,2004,2014,true,Predecessor and merger continuity should be checked for 1996 interpretation.
