company,ticker,cik,sector_or_industry,cohort_name,cohort_year,cohort_rank,cohort_market_cap,comparison_point,life_arc_basis,life_arc_year,filing_form,filing_date,accession,source_path,founder_names,founder_executive_role,founder_board_role,founder_economic_ownership_pct,founder_voting_power_pct,dual_class_or_control_mechanism,controlled_company_status,founder_control_signal,evidence_section_id,evidence_chunk_ids,evidence_excerpt,confidence,notes
"Microsoft","MSFT","0000789019","Software","earlier_sp500_top20_1996","1996","4","99.41B","dominance_year","left_censored_first_edgar_proxy","1996","DEF 14A","1996-09-27","0000898430-96-004549","https://www.sec.gov/Archives/edgar/data/789019/000089843096004549/0000898430-96-004549.txt","William H. Gates; Paul G. Allen","Gates was CEO","Gates was chairman/director; Allen was director","Gates 23.7%; Allen 9.0%; directors/officers group 38.7%","","single-class common stock observed in proxy","not disclosed as controlled company","strong","raw_sec_txt","raw:MSFT-1996:L250-L364; raw:MSFT-1996:L376","Gates was identified as founder, CEO and chairman; Gates held 23.7%, Allen held 9.0%, and directors/officers held 38.7%.","high","EdgarPack built this accession as an SEC directory listing, so the raw SEC text is used as the primary evidence until old DEF 14A ingestion is fixed."
"Intel","INTC","0000050863","Semiconductors","earlier_sp500_top20_1996","1996","3","107.55B","dominance_year","left_censored_first_edgar_proxy","1996","DEF 14A","1996-04-04","0000898430-96-001197","https://www.sec.gov/Archives/edgar/data/50863/000089843096001197/0000898430-96-001197.txt","Gordon E. Moore","","Moore was chairman and director","Moore 5.6%","","single-class common stock observed in proxy","not disclosed as controlled company","visible","raw_sec_txt","raw:INTC-1996:L430-L431; raw:INTC-1996:L1195","Moore was identified as co-founder and chairman; the ownership table listed 45,996,726 shares, or 5.6%.","high","Founder presence remained visible at board/chair level, but the row does not show majority voting control."
"Walmart","WMT","0000104169","Retail","earlier_sp500_top20_1996","1996","10","52.17B","dominance_year","left_censored_first_edgar_proxy","1996","DEF 14A","1996-04-23","0000104169-96-000003","https://www.sec.gov/Archives/edgar/data/104169/000010416996000003/0000104169-96-000003.txt","Sam Walton family","","S. Robson Walton was chairman; John T. Walton was director","Walton family members each disclosed about 38% through Walton Enterprises-linked holdings","","founder-family partnership block","not disclosed as controlled company","strong","raw_sec_txt","raw:WMT-1996:L808-L819","Walton family rows each included 871,273,976 Walton Enterprises shares and about 38% beneficial ownership.","high","Founder was deceased; this is founder-family control, not living founder operator control."
"Exxon Mobil","XOM","0000034088","Oil and gas","earlier_sp500_top20_1996","1996","2","121.72B","dominance_year","left_censored_first_edgar_proxy","1996","DEF 14A","1996-03-12","0000950117-96-000195","https://www.sec.gov/Archives/edgar/data/34088/000095011796000195/0000950117-96-000195.txt","","","","directors/nominees less than 0.1%; directors/officers group less than 0.5% with options","","single-class common stock observed in proxy","not disclosed as controlled company","none_found","raw_sec_txt","raw:XOM-1996:L1005-L1044","Directors and nominees held less than 0.1%; directors/officers as a group were less than 0.5% with options.","high","No founder-control signal found in reviewed proxy ownership evidence."
"Coca-Cola","KO","0000021344","Beverages","earlier_sp500_top20_1996","1996","1","130.56B","dominance_year","left_censored_first_edgar_proxy","1996","DEF 14A","1996-03-01","0000950144-96-000760","https://www.sec.gov/Archives/edgar/data/21344/000095014496000760/0000950144-96-000760.txt","","","","no founder ownership found; Berkshire/Buffett disclosed 7.98% non-founder block","","single-class common stock observed in proxy","not disclosed as controlled company","none_found","raw_sec_txt","raw:KO-1996:L555-L591; raw:KO-1996:L678-L691","The largest visible control-like block was Berkshire/Buffett at 100,000,000 shares, or 7.98%, not founder ownership.","medium","No Candler/founder-control signal found in targeted proxy search; non-founder Buffett ownership is noted to avoid false founder attribution."
"General Electric","GE","0000040545","Industrials","earlier_sp500_top20_1996","1996","5","97.40B","dominance_year","left_censored_first_edgar_proxy","1996","DEF 14A","1996-03-11","0000040545-96-000003","https://www.sec.gov/Archives/edgar/data/40545/000004054596000003/0000040545-96-000003.txt","","","","no director/officer above 0.1%; directors/officers group below 1%","","single-class common stock observed in proxy","not disclosed as controlled company","none_found","raw_sec_txt","raw:GE-1996:L545-L572","The proxy stated no director/officer owned more than 0.1%, and directors/officers as a group owned less than 1%.","high","No founder-control signal found in reviewed proxy ownership evidence."
"NVIDIA","NVDA","0001045810","Semiconductors","current_sp500_top20_2026","2026","1","5.264T","dominance_year","S-1 IPO plus current proxy","2026","DEF 14A","2025-05-13","0001045810-25-000095","packs/0001045810/0001045810-25-000095","Jen-Hsun Huang","President and CEO","director since 1993","3.77%","","single-class common stock observed in proxy","not disclosed as controlled company","visible","unknown_01","2d586b7d07e4513e; b5033e9131fcaadf; 454820b3fef083f9","Huang is founder, President, CEO and board member; the ownership table listed 922,922,938 shares, or 3.77%.","high","Founder-operator influence is high, but formal voting control is not shown by the proxy ownership table."
"Alphabet","GOOGL","0001652044","Internet platforms","current_sp500_top20_2026","2026","2","4.238T","dominance_year","S-1 IPO under Google Inc plus current proxy","2026","DEF 14A","2026-04-24","0001308179-26-000342","packs/0001652044/0001308179-26-000342","Larry Page; Sergey Brin","","Page and Brin are co-founder directors","Page 389.1M Class B shares; Brin 358.9M Class B shares; Class C excluded from table","Page 27.4%; Brin 25.3%; directors/officers group 54.3%","Class B common stock has ten votes per share; Class C has no voting power","not labeled as controlled company in reviewed excerpts","strong","unknown_01","59d4db6a4f0a572a; 3b1fc3cbb8420ee3; 72df5b2afbd5f5db; 1dd5b30fd0fef98f","The proxy listed Page at 27.4% voting power, Brin at 25.3%, and Class B shares with ten votes per share.","high","Formal founder voting control persists even though operating leadership has moved to professional management."
"Meta Platforms","META","0001326801","Internet platforms","current_sp500_top20_2026","2026","7","1.717T","dominance_year","S-1 IPO plus current proxy","2026","DEF 14A","2026-04-16","0001628280-26-025532","packs/0001326801/0001628280-26-025532","Mark Zuckerberg","Founder, chairman and CEO","director since 2004; chairman since 2012","Class B 99.8%; Class A less than 1%","60.8%","Class B common stock has ten votes per share; Class A has one vote per share","controlled company under Nasdaq rules","strong","unknown_01","8158ca5e8a5e2250; 9a17a6b8b18c4f52; 6f79c1bf4b3bf253","Zuckerberg is founder/chair/CEO and controlling shareholder; ownership table listed 60.8% total voting power.","high","Strongest formal founder-control row in the validation slice."
"Apple","AAPL","0000320193","Consumer technology","current_sp500_top20_2026","2026","3","3.929T","dominance_year","left_censored_first_edgar_proxy","2026","DEF 14A","2026-01-08","0001308179-26-000008","packs/0000320193/0001308179-26-000008","Steve Jobs; Steve Wozniak","","","no founder ownership found; Tim Cook and directors/officers were each below 1%","","single-class common stock observed in proxy","not disclosed as controlled company","none_found","unknown_00","314fed177ccce9bf; d42f348f2d01caf1; ebe9bd8c4e1aa103","Apple's ownership table listed Vanguard and BlackRock above 5%; Tim Cook and the officer/director group were below 1%.","high","Founder names are included for identity only; no current founder-control evidence found in the 2026 proxy."
"Microsoft","MSFT","0000789019","Software","current_sp500_top20_2026","2026","4","3.155T","dominance_year","left_censored_first_edgar_proxy","2026","DEF 14A","2025-10-21","0001193125-25-245150","packs/0000789019/0001193125-25-245150","Bill Gates; Paul Allen","","","no founder ownership found in current beneficial-owner table; Satya Nadella below 1%","","single-class common stock; annual director elections; proxy access","not disclosed as controlled company","none_found","def14a_itemother_microsoft_corp_def_14_a_filed","64be113c6dcb20b7; 33339b13542724e9; 318ce758a762a071","The current proxy celebrates the founders but the ownership tables show institutional holders above 5% and Nadella below 1%.","high","This is the clearest same-company arc: strong founder ownership in 1996, no current founder-control evidence in 2025 proxy."
"Broadcom","AVGO","0001730168","Semiconductors","current_sp500_top20_2026","2026","6","1.980T","dominance_year","S-1 predecessor plus current proxy","2026","DEF 14A","2026-03-02","0001193125-26-085691","packs/0001730168/0001193125-26-085691","Henry Samueli","former CTO of Broadcom Corporation","chairman of Broadcom Inc.","1.8%","","single-class common stock observed in proxy","not disclosed as controlled company","visible","unknown_01","b29cff1fbe00e40f; 90a37899d83786b6","Samueli co-founded Broadcom Corporation and is current chairman; the ownership table listed 85,559,569 shares, or 1.8%.","medium","Predecessor-founder continuity: current Broadcom Inc. is the Avago legal successor that acquired Broadcom Corporation."
"JPMorgan Chase","JPM","0000019617","Financials","current_sp500_top20_2026","2026","11","835.01B","dominance_year","left_censored_first_edgar_proxy","2026","DEF 14A","2026-04-06","0000019617-26-000096","packs/0000019617/0000019617-26-000096","","","","Dimon and each director/NEO below 1%; directors/officers group below 1%","","single-class common stock observed in proxy","not disclosed as controlled company","none_found","def14a_itemother_jpmorgan_chase_co_def_14_a","f3120aacdc6c5c58; 6482e68ad0030928","The proxy states each director, nominee and NEO, including Dimon, beneficially owned less than 1%.","high","Included as a current non-tech dominant-company control comparator."
"NVIDIA","NVDA","0001045810","Semiconductors","current_sp500_top20_2026","2026","1","5.264T","ipo_or_first_observable","S-1","1998","S-1","1998-03-06","0001012870-98-000618","https://www.sec.gov/Archives/edgar/data/1045810/000101287098000618/0001012870-98-000618.txt","Jen-Hsun Huang","President and CEO","director","12.8%","","single-class common stock observed in S-1","not disclosed as controlled company","strong","raw_sec_txt","raw:NVDA-S1-1998:L3238-L3257; raw:NVDA-S1-1998:L3839-L3878","The S-1 identified Huang as co-founder, president, CEO and director, with 3,000,000 shares, or 12.8%.","high","EdgarPack built this older S-1 as a directory listing, so the raw SEC text is used as primary evidence."
"Google","GOOGL","0001288776","Internet platforms","current_sp500_top20_2026","2026","2","4.238T","ipo_or_first_observable","S-1 under Google Inc","2004","S-1","2004-04-29","0001193125-04-073639","packs/0001288776/0001193125-04-073639","Larry Page; Sergey Brin","Page was President of Products; Brin was President of Technology","Page and Brin were directors","Page 38,593,700 shares; Brin 38,490,304 shares","not computed from preliminary S-1 blanks","Class B common stock had ten votes per share; Class A had one vote per share","controlled-company election restricted without 66 2/3% voting approval","strong","s1_itemother_management; s1_itemother_principal_selling_stockholders; s1_itemother_description_of_capital_stock","1f31d055e25ef2cd; 5ce6122ed12dc6e3; 6d79491fe875b802; dcb86a4dfaa334d8","The S-1 listed Page and Brin each around 38.5M shares and described Class B as ten-vote stock.","medium","Preliminary S-1 has blank post-offering percentages; use for mechanism and share-count evidence, not exact post-IPO voting power."
"Meta Platforms","META","0001326801","Internet platforms","current_sp500_top20_2026","2026","7","1.717T","ipo_or_first_observable","S-1","2012","S-1","2012-02-01","0001193125-12-034517","packs/0001326801/0001193125-12-034517","Mark Zuckerberg","Founder, chairman and CEO","director","533,801,850 Class B shares; 28.4% Class B column in table","majority voting control through voting agreements","Class B had ten votes per share; voting agreements gave Zuckerberg proxy control","controlled company","strong","s1_itemother_management; s1_itemother_principal_selling_stockholders; s1_itemother_risk_factors","9f24be4718da62f6; 202bf6fc516559f8; 508cb37734e01914; d6dc128db8b9b15e; d8420f9907f6fa24","The S-1 described Zuckerberg as founder/chair/CEO, controlled company, and holder of majority voting power through shares and voting agreements.","high","IPO-stage evidence shows formal control was designed into the public-company structure."
