cohort_name,cohort_year,cohort_role,rank,company,ticker,market_cap,sector_or_industry,cohort_source_url,cohort_retrieved_at,edgarpack_input,cik,edgarpack_source,identity_notes
earlier_sp500_top20_1996,1996,primary,1,Coca-Cola,KO,130.56B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,KO,0000021344,SEC,
earlier_sp500_top20_1996,1996,primary,2,Exxon Mobil,XOM,121.72B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,XOM,0000034088,SEC,
earlier_sp500_top20_1996,1996,primary,3,Intel,INTC,107.55B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,INTC,0000050863,SEC,
earlier_sp500_top20_1996,1996,primary,4,Microsoft,MSFT,99.41B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MSFT,0000789019,SEC,
earlier_sp500_top20_1996,1996,primary,5,General Electric,GE,97.40B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,GE,0000040545,SEC,
earlier_sp500_top20_1996,1996,primary,6,Merck,MRK,86.42B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MRK,0000064978,SEC,Corrected to historical Merck CIK; current MRK lineage differs after the Schering-Plough transaction.
earlier_sp500_top20_1996,1996,primary,7,IBM,IBM,73.51B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,IBM,0000051143,SEC,
earlier_sp500_top20_1996,1996,primary,8,Procter & Gamble,PG,72.53B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,PG,0000080424,SEC,
earlier_sp500_top20_1996,1996,primary,9,Johnson & Johnson,JNJ,66.29B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,JNJ,0000200406,SEC,
earlier_sp500_top20_1996,1996,primary,10,Walmart,WMT,52.17B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,WMT,0000104169,SEC,
earlier_sp500_top20_1996,1996,primary,11,Bristol-Myers Squibb,BMY,51.90B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,BMY,0000014272,SEC,
earlier_sp500_top20_1996,1996,primary,12,Pfizer,PFE,50.73B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,PFE,0000078003,SEC,
earlier_sp500_top20_1996,1996,primary,13,Walt Disney,DIS,47.08B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,DIS,0001744489,SEC,EdgarPack resolves current Disney CIK; verify predecessor continuity for 1996 filings.
earlier_sp500_top20_1996,1996,primary,14,PepsiCo,PEP,45.63B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,PEP,0000077476,SEC,
earlier_sp500_top20_1996,1996,primary,15,Chevron,CVX,42.45B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,CVX,0000093410,SEC,
earlier_sp500_top20_1996,1996,primary,16,AIG,AIG,42.15B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,AIG,0000005272,SEC,
earlier_sp500_top20_1996,1996,primary,17,Cisco Systems,CSCO,41.72B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,CSCO,0000858877,SEC,
earlier_sp500_top20_1996,1996,primary,18,Eli Lilly,LLY,40.37B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,LLY,0000059478,SEC,
earlier_sp500_top20_1996,1996,primary,19,Fannie Mae,FNMA,39.76B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,FNMA,0000310522,SEC,
earlier_sp500_top20_1996,1996,primary,20,JPMorgan Chase,JPM,38.49B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,JPM,0000019617,SEC,1996 row may require predecessor continuity review around Chase/J.P. Morgan merger history.
