company,ticker,cik,anchor_year,filing_form,filing_date,accession,source_path,founder_names,founder_executive_role,founder_board_role,founder_economic_ownership_pct,founder_voting_power_pct,dual_class_or_control_mechanism,controlled_company_status,control_summary,evidence_section_id,evidence_chunk_ids,evidence_excerpt,confidence,notes
"NVIDIA Corporation","NVDA","0001045810","2026","DEF 14A","2025-05-13","0001045810-25-000095","packs/0001045810/0001045810-25-000095/sections/unknown_01.md","Jen-Hsun Huang","President and Chief Executive Officer","member of the Board","3.77%","3.77%","Common-stock beneficial ownership; no separate voting class cited","not stated","Founder-CEO/director owns 922,922,938 shares, below control level but still a material founder stake.","unknown_01","80a9613e0ecfe5e3;454820b3fef083f9","Huang founded NVIDIA in 1993; table shows 922,922,938 shares and 3.77%.","high","Current anchor uses latest available proxy filed 2025-05-13."
"NVIDIA Corporation","NVDA","0001045810","2016","DEF 14A","2016-04-07","0001045810-16-000229","packs/0001045810/0001045810-16-000229/sections/unknown_01.md","Jen-Hsun Huang","president, chief executive officer","member of the board of directors","4.45%","4.45%","Common-stock beneficial ownership; no separate voting class cited","not stated","Founder-CEO/director owns 24,089,348 beneficial shares, 4.45% of common stock.","unknown_01","9ff3cc8550a90d69;9c101788b0c9396c","Huang co-founded NVIDIA in 1993; table shows 24,089,348 shares and 4.45%.","high","Voting pct follows common-stock beneficial ownership table."
"NVIDIA Corporation","NVDA","0001045810","2006","DEF 14A","2006-05-12","0001193125-06-110604","packs/0001045810/0001193125-06-110604/sections/unknown_01.md","Jen-Hsun Huang","President and Chief Executive Officer","Director","6.3%","6.3%","Common-stock beneficial ownership; no separate voting class cited","not stated","Founder-CEO/director owns 22,462,170 beneficial shares, 6.3% of common stock.","unknown_01","062cf952f39defdc;d2651699ef5289bf;72feb5c2259b5656","Huang co-founded NVIDIA; table shows 22,462,170 beneficial shares and 6.3%.","high","Voting pct follows common-stock beneficial ownership table."
"Alphabet Inc.","GOOG","0001652044","2026","DEF 14A","2026-04-24","0001308179-26-000342","packs/0001652044/0001308179-26-000342/sections/unknown_01.md","Larry Page; Sergey Brin","No current executive role; former Alphabet CEO/President disclosed","Directors since 1998; Page chairs Executive Committee; Brin on Executive Committee","Page Class B 46.5%; Brin Class B 42.9%; total economic pct not reported","Page 27.4%; Brin 25.3%; combined 52.7%","Class B has 10 votes/share; Class A has 1 vote/share; Class C non-voting/excluded","No explicit controlled-company label found; founders have majority reported voting power","Dual-class voting leaves Page and Brin with combined majority voting power despite non-identical economic exposure.","unknown_01","59d4db6a4f0a572a;3b1fc3cbb8420ee3;72df5b2afbd5f5db;faf9ae84977a5f99","Page 27.4%; Brin 25.3%; Class B holders get ten votes per share.","high","Economic field uses reported class ownership, not total economic ownership."
"Alphabet Inc.","GOOG","0001652044","2016","DEF 14A","2016-04-29","0001308179-16-000384","packs/0001652044/0001308179-16-000384/sections/def14a_itemother_alphabet_inc.md","Larry Page; Sergey Brin","Page: CEO, Alphabet; Brin: President, Alphabet","Both Co-Founder and Director","Page Class B 42.4%; Brin Class B 41.3%; total economic pct not reported","Page 26.6%; Brin 25.9%; combined 52.5%","Class B has 10 votes/share; Class A has 1 vote/share; Class C not included in ownership table","No explicit controlled-company label found; founders have majority reported voting power","Page and Brin together controlled a majority of total voting power through Class B holdings.","def14a_itemother_alphabet_inc","ebe6567ec9cceae2;4d432d643c7fc308","Page 26.6%; Brin 25.9%; Class B receives ten votes per share.","high","Economic field uses reported class ownership, not total economic ownership."
"Google Inc.","GOOG","0001288776","2006","DEF 14A","2006-03-31","0001193125-06-070406","packs/0001288776/0001193125-06-070406/sections/def14a_itemother_common_stock_ownership_of.md","Larry Page; Sergey Brin","Page: President of Products; Brin: President of Technology","Both Directors since inception","Page Class B 35.5%; Brin Class B 35.4%; total economic pct not reported","Page 28.8%; Brin 28.7%; combined 57.5%","Class B has 10 votes/share; Class A has 1 vote/share","No explicit controlled-company label found; founders have majority reported voting power","Founders held majority voting power through high-vote Class B shares.","def14a_itemother_common_stock_ownership_of","ed8967e5031259e6;65eea65d5a1072c0","Page 28.8%; Brin 28.7%; Class B receives 10 votes per share.","high","Predecessor Google Inc.; economic field uses reported class ownership."
"Apple Inc.","AAPL","0000320193","2026","DEF 14A","2026-01-08","0001308179-26-000008","packs/0000320193/0001308179-26-000008/filing.full.md","none in current ownership evidence","N/A; relevant row is Tim Cook, CEO","N/A; relevant row is Tim Cook, director nominee","not applicable; Tim Cook under 1%","not applicable; Tim Cook under 1%","Common stock; no founder-control mechanism cited in ownership section","not stated","Weak/no-founder-control row: CEO Tim Cook is the relevant management holder at 3,280,295 shares, under 1%.","unknown_00","6aca5413625d8ab1;c5e082faf7f4b986;6425e318eddd383f","Cook is CEO; ownership table shows Tim Cook 3,280,295 shares and under 1%.","medium","Ownership section inspected; split section missed this table, so source_path is filing.full.md."
"Apple Inc.","AAPL","0000320193","2016","DEF 14A","2016-01-06","0001193125-16-422528","packs/0000320193/0001193125-16-422528/sections/def14a_itemother_security_ownership_of_certain.md","none in current ownership evidence","N/A; relevant row is Tim Cook, CEO","N/A; relevant row is Tim Cook, director","not applicable; Tim Cook under 1%","not applicable; Tim Cook under 1%","Common stock; no founder-control mechanism cited in ownership section","not stated","Weak/no-founder-control row: CEO/director Tim Cook beneficially owns 1,039,598 shares, under 1%.","def14a_itemother_security_ownership_of_certain","62151d86c09cb085;37332098b0b8631a","Board table names Tim Cook as CEO; ownership table shows 1,039,598 shares and under 1%.","high","Ownership table inspected; no founder row used."
"Apple Computer, Inc.","AAPL","0000320193","2006","DEF 14A","2006-03-13","0001193125-06-052321","packs/0000320193/0001193125-06-052321/sections/unknown_00.md","Steven P. Jobs","Chief Executive Officer","Director","1.19%","1.19%","Common stock; no separate voting class cited","not stated","Founder-CEO/director owns 10,120,004 beneficial shares, 1.19% of common stock.","unknown_00","71bf99a73f7173fb;2d219925dcad19a4","Jobs is one of the co-founders; table shows 10,120,004 shares and 1.19%.","high","Voting pct follows common-stock beneficial ownership table."
"Microsoft Corporation","MSFT","0000789019","2026","DEF 14A","2025-10-21","0001193125-25-245150","packs/0000789019/0001193125-25-245150/sections/def14a_itemother_microsoft_corp_def_14_a_filed.md","Bill Gates; Paul Allen","not a current executive role in cited ownership evidence","not a current board role in cited ownership evidence","not listed among over-5% principal holders","not listed among over-5% principal holders","Single class with equal voting rights; principal holders are Vanguard 8.95% and BlackRock 7.30%","not stated","Weak/no-founder-control row: founders are historical; current principal shareholder table lists institutional holders, not founders.","def14a_itemother_microsoft_corp_def_14_a_filed","64be113c6dcb20b7;47f3b6ccd3514193","Gates and Allen started Microsoft; principal holders table lists Vanguard 8.95% and BlackRock 7.30%.","medium","Founder ownership is not separately shown in the principal-holder table inspected."
"Microsoft Corporation","MSFT","0000789019","2016","DEF 14A","2016-10-18","0001193125-16-740758","packs/0000789019/0001193125-16-740758/sections/def14a_itemother_microsoft_corp_def_14_a_filed.md","William H. Gates III","Technical Advisor to Mr. Nadella","Director","2.46%","2.46%","Common-stock beneficial ownership; no separate voting class cited","not stated","Founder/director and technical advisor owns 190,992,934 shares, 2.46% of common stock.","def14a_itemother_microsoft_corp_def_14_a_filed","5725fa3c47865ab3;771fd5f262e3cd5d","Gates is co-founder and Technical Advisor; table shows 190,992,934 shares and 2.46%.","high","Table states beneficial ownership represents sole voting and investment power."
"Microsoft Corporation","MSFT","0000789019","2006","DEF 14A","2006-10-04","0001193125-06-202089","packs/0000789019/0001193125-06-202089/sections/def14a_itemother_microsoft_corp_def_14_a_filed.md","William H. Gates III","Chief Software Architect until June 2006 transition; former CEO","Chairman","9.73%","9.73%","Common-stock beneficial ownership; no separate voting class cited","not stated","Founder-chair owns 957,499,336 shares, 9.73%; filing says he was the only over-5% beneficial owner.","def14a_itemother_microsoft_corp_def_14_a_filed","7204b7551a18d47c;14b717705995d0c4","Gates is co-founder and Chairman; table shows 957,499,336 shares and 9.73%.","high","Table states beneficial ownership represents sole voting and investment power."
"Amazon.com, Inc.","AMZN","0001018724","2026","DEF 14A","2026-04-09","0001104659-26-041026","packs/0001018724/0001104659-26-041026/sections/def14a_itemother_amazon_com_inc_def_14_a_filed.md","Jeffrey P. Bezos","Founder and Executive Chair","Chair of the Board","8.8%","8.8%","Single class of common stock; one share equals one vote","not stated","Founder executive chair owns 950,434,581 shares, 8.8%, with a single-class one-share-one-vote structure.","def14a_itemother_amazon_com_inc_def_14_a_filed","3c86a932fb23937d;7557b8ed1b16b3f7;6b22c8c9f99d8118","Bezos is founder/Executive Chair; table shows 950,434,581 shares and 8.8%.","high","Footnote includes shares with sole voting power and no investment power."
