cohort_name,cohort_year,cohort_role,rank,company,ticker,market_cap,sector_or_industry,cohort_source_url,cohort_retrieved_at,edgarpack_input,cik,edgarpack_source,identity_notes
earlier_sp500_top20_1996,1996,primary,1,Coca-Cola,KO,130.56B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,KO,,,
earlier_sp500_top20_1996,1996,primary,2,Exxon Mobil,XOM,121.72B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,XOM,,,
earlier_sp500_top20_1996,1996,primary,3,Intel,INTC,107.55B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,INTC,,,
earlier_sp500_top20_1996,1996,primary,4,Microsoft,MSFT,99.41B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MSFT,,,
earlier_sp500_top20_1996,1996,primary,5,General Electric,GE,97.40B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,GE,,,
earlier_sp500_top20_1996,1996,primary,6,Merck,MRK,86.42B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MRK,,,
earlier_sp500_top20_1996,1996,primary,7,IBM,IBM,73.51B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,IBM,,,
earlier_sp500_top20_1996,1996,primary,8,Procter & Gamble,PG,72.53B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,PG,,,
earlier_sp500_top20_1996,1996,primary,9,Johnson & Johnson,JNJ,66.29B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,JNJ,,,
earlier_sp500_top20_1996,1996,primary,10,Walmart,WMT,52.17B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,WMT,,,
earlier_sp500_top20_1996,1996,primary,11,Bristol-Myers Squibb,BMY,51.90B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,BMY,,,
earlier_sp500_top20_1996,1996,primary,12,Pfizer,PFE,50.73B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,PFE,,,
